	gene	leverage
4494	C4a	0.0213860669233769
40261	Rpsa-ps10	0.02131115365685939
39998	Rpl31-ps10	0.02111705002211243
7845	Erdr1	0.020876783836554086
4427	C1qc	0.020835365428283344
29102	Hs3st4	0.020797572885517184
8885	Gad2	0.0207524473519377
42239	St8sia4	0.020551440142010904
9856	Gm11425	0.020520428796759922
39954	Rpl23a-ps3	0.020465835655840193
40813	Serpina3n	0.020371249928319037
8696	Foxp2	0.02036277754590785
6059	Cpne7	0.020271760116260522
40411	S1pr1	0.020199860294270004
4098	Bcl11b	0.020154531014635456
10738	Gm12421	0.01998942232543071
17115	Gm24265	0.019961187409344532
29362	Igfbp4	0.019891916996269018
39226	Ramp3	0.019856191975353998
3354	Arc	0.019754981309420543
33353	Neurod6	0.019641745686688545
42795	Tcf7l2	0.01961585327366325
27535	Gm8643	0.01958596320733606
42245	Stac2	0.019550251316447217
33656	Nr4a2	0.019543452004588943
36616	Ppp1r1b	0.019537066521384133
40114	Rprm	0.019472730832083434
24410	Gm4468	0.019373006257871805
9260	Gm10123	0.019337262270218866
4424	C1qa	0.019315631586172166
40123	Rps11-ps2	0.019282745528970555
25626	Gm4604	0.019076592411079105
39994	Rpl30-ps8	0.019014386877517737
15122	Gm20430	0.01900781914182912
4425	C1qb	0.018963014855539886
30410	Klhl35	0.01890551622904986
33570	Nov	0.01882676935540822
29387	Ighm	0.01882225022542297
40126	Rps11-ps5	0.018808741800774288
4586	Cachd1	0.018768930309410112
3694	Atp2b4	0.018685365931590883
4235	Bok	0.018675988259975348
9322	Gm10243	0.01860272641623014
8123	Fam163b	0.018556130168735693
10499	Gm12155	0.01852553824250849
27858	Gm9396	0.018455367597348157
31597	Meis2	0.018421616460452553
44031	Trp53i11	0.018391502503601918
5145	Cd74	0.018359946798306655
13272	Gm15564	0.018352920254882835
31185	Lypd6	0.01833396342699568
26155	Gm5687	0.018283811093725722
30006	Itih3	0.01827311273773432
32306	Mir703	0.01816042120746464
6303	Ctss	0.01811608633911489
25846	Gm5121	0.018080623753506546
45427	Wfs1	0.018062526147864296
40168	Rps15a-ps6	0.017974464585834325
9741	Gm11263	0.017964103765760183
27531	Gm8624	0.01791265805591973
28306	Gpr55	0.01784425671866892
27057	Gm7618	0.017843130843443876
19017	Gm26917	0.017838487139630654
29247	Id3	0.01781061357335431
39988	Rpl30-ps10	0.01780449318580039
3716	Atp5l2-ps	0.017794028755828483
10008	Gm11604	0.01775843423449513
7743	Eno1b	0.01765578161278052
30323	Kif3a	0.017650900173539305
41309	Slc32a1	0.01761876381559255
46295	mt-Rnr2	0.017572714679336646
6175	Crym	0.017517471656493238
38358	RP23-6C18.3	0.01747343821435781
4037	Baiap3	0.01745737943847494
39692	Rn18s-rs5	0.017419949150608946
27748	Gm9104	0.01739927068487186
35259	Olfr912	0.017358265489816845
28525	Gucy1a3	0.017333175273637858
40738	Sema3e	0.017325627311525905
40030	Rpl35a-ps5	0.01731609008483507
11741	Gm13611	0.01729495162402539
25099	Gm45380	0.01722057377239073
40166	Rps15a-ps4	0.01719908839184598
7933	Etv1	0.01718574207584623
25378	Gm45660	0.017174754198150795
26830	Gm7079	0.017103293681702436
5840	Cnot3	0.017084950159597802
17120	Gm24270	0.01704959048642073
2859	Agt	0.017011978418997535
38268	RP23-464F18.3	0.017010259660066557
27239	Gm8019	0.01699415329381682
27465	Gm8464	0.016977333477996542
9317	Gm10237	0.016948288766939313
41647	Smyd4	0.016926428748304027
32599	Mpped1	0.0168891213170773
15435	Gm2115	0.016886549217650863
36863	Prox1	0.016870223670464018
8488	Fezf2	0.016790502894218778
29099	Hs3st2	0.01678343848916043
1089	4930426I24Rik	0.016765593885820343
43554	Tnnt1	0.01669454473140556
8813	Fxyd7	0.016665630971387624
12350	Gm14414	0.016661362492050562
9308	Gm10222	0.016646559043125408
13517	Gm15843	0.016617440133675675
40188	Rps19-ps4	0.016603352944272984
33844	Nxph1	0.016597026799684375
39138	Rab3b	0.016586687302487826
38349	RP23-65M10.2	0.01657699262440598
20101	Gm29257	0.01655938023381839
11902	Gm13815	0.016450632791153642
40237	Rps6-ps1	0.016373123583108915
3394	Arhgap27	0.01634859266748289
13477	Gm15793	0.01633709393308666
40037	Rpl36-ps3	0.01628635870497845
40881	Sez6	0.016285696136187355
40612	Scn4b	0.01625802720368591
33290	Necab1	0.016139845640402713
11174	Gm12944	0.01612070702468115
40363	Runx1	0.016104813739010206
41010	Shox2	0.016075489315617995
17125	Gm24276	0.01597876493912715
33291	Necab2	0.015956723229250503
40002	Rpl31-ps14	0.015950485916454468
20822	Gm36737	0.01587434411200662
6728	Dcn	0.015863181282208576
40191	Rps19-ps7	0.01581984549315439
45433	Wipf3	0.015763832414920794
22246	Gm42418	0.015752741927060138
6061	Cpne9	0.01575262656679085
7175	Doc2b	0.015750002178491703
40266	Rpsa-ps4	0.01572070991218222
10728	Gm12411	0.01571417353667789
42353	Stum	0.01571398046375636
44509	Unc5d	0.01570778885199628
9336	Gm10263	0.01568141680699731
9324	Gm10247	0.015676906712943424
42029	Spink8	0.01567594269887306
33831	Nwd2	0.015670148366584466
28953	Hmgcl	0.015631444932998388
8176	Fam19a1	0.01563141536647833
46294	mt-Rnr1	0.015625064057564662
30719	Lbx1	0.015591615314936164
6388	Cygb	0.015572924574209059
29884	Ipcef1	0.015560005342197595
44218	Ttn	0.015528802629172176
33743	Ntng1	0.015501129969309857
31410	Marcksl1	0.015475288578704878
40262	Rpsa-ps11	0.015457511695468062
6056	Cpne4	0.015456861774797204
7870	Ermn	0.015454232334378766
35565	Pantr1	0.015447225713564708
30767	Ldb2	0.015436108032998762
3713	Atp5l	0.015419173167426678
31180	Lypd1	0.015402363334518235
