	AB	AB_2	AS	AS_2	D	D_2	N	N_2
N06_D2__12_22	1588.7761933715	3024.2287094605	17.824617407	20.086435404	9.233874754	12.2692174715		
N06_D2__12_23	179.91173329699996	315.364432238	3.095879064	7.7546413715	19.786705322	22.017348077499996		
N06_D2__12_24	1724.5053751925002	1674.210621792	13.126180412	10.652988755	24.754924004000003	21.304881524		
N06_D2__12_25	2138.1067961375	1841.2568481925	28.870391272	16.385469087	13.3323927765	13.249236161		
N06_D2__12_26	1669.2071642875	1538.520104361	15.244339719500001	16.801511616	16.960352423	18.3727300395		
N06_D2__12_27	675.0855502805	1054.0793402165	10.304727038	11.420418683	19.161193066	18.371291816		
N06_D2__12_28	344.2870039245	1337.6763419335	27.359596142	19.8943469015	10.704949067000001	8.765700006500001		
N06_D2__12_3	1101.3936514709999	2203.196767892	35.234138973	28.067178057	10.0169939575	11.741050674		
N06_D2__12_4	2204.919377199	1746.1729428200001	18.891054959999998	18.3294364565	10.7745370025	10.369681683500001		
N06_D2__12_5	2136.3935616754998	2032.089041483	16.298920921	22.215756667	12.481881139999999	12.697254221000001		
N06_D2__13_1	838.7181281645001	2475.8403896479995	53.67709513	45.159668313	12.0045300115	9.672724065		
N06_D2__13_10	355.70442396699997	529.240192621	0.0	6.724251287	7.887428254	11.827518194000001		
N06_D2__13_11	524.448416171	1017.510924289	3.573773567	4.554569552	20.204483632	15.247205255		
N06_D2__13_12	2552.744503056	1308.245409998	13.270804231	5.858805505	16.363999202000002	16.578121525		
N06_D2__13_13	828.2683981619998	2711.822464593	3.3516148689999996	6.810993332000001	17.646034648	19.708497179000002		
N06_D2__13_14	171.127787622	563.377467379	3.093119166	3.3181574719999998	24.310831344	21.392608463		
N06_D2__13_15	349.363023084	1181.733824208	3.458900706	5.584924131	13.457906769000001	15.729319627999999		
N06_D2__13_16	197.71635993	1279.7532862065	9.631190727	10.556611882	21.185458377499998	15.56273279		
N06_D2__13_17	2275.6927069765	1337.374667795	15.0561097255	11.694529070000002	15.336658353999999	16.6892808685		
N06_D2__13_19	596.6067631595	1446.803291659	5.552595118999999	10.000520928	13.130128957	14.42971375		
N06_D2__13_2	590.844523089	4316.1016959025	23.327876519999997	31.403007693999996	11.2800124725	15.567925701499998		
N06_D2__13_20	2067.690002108	2896.892678169	12.3319121025	14.241506986000003	5.0891002515	7.1660225395		
N06_D2__13_21	2483.4634340445	3097.0380117064997	13.0814543975	11.5112802395	4.306317286500001	11.9202352415		
N06_D2__13_22	470.9137071965	529.4118958155001	9.1175171195	12.005788553999999	50.502540314	27.632153779		
N06_D2__13_23	1111.0262346635	2501.837208221	16.823406479	15.295576684499999	19.963427377	19.562577511500002		
N06_D2__13_24	2718.4027549475	2430.932066753	15.4246193435	10.0855072835	20.705554364	18.536391797500002		
N06_D2__13_25	535.3546516135	1834.848517701	11.8686638045	9.733330338	19.8374280755	16.453989935		
N06_D2__13_26	629.1902013270001	1340.456099035	2.4824498935	7.116811265999999	14.2537389355	14.3266691815		
N06_D2__13_27	343.49371860350004	1036.3450717735	8.3638342075	9.830035207	22.7520031655	21.533325239999996		
N06_D2__13_28	791.259270048	1125.6782054634998	28.491474003500002	22.469253824	14.8708023855	15.653420835		
N06_D2__13_3	2144.487370811	2281.544023922	20.3584460185	27.785151169000002	17.2032625025	13.0411700685		
N06_D2__13_4	1072.5072854895	2170.8322247695	18.223224928	17.2510312315	18.061467734	14.4256671435		
N06_D2__13_5	353.9155796845	1747.7153156764998	17.067784388	19.325214393	12.831260140999998	13.3277340645		
N06_D2__14_1	115.38389112	1697.681162302	37.144128114000004	32.753199881	8.340747331000001	7.995981544999999		
N06_D2__14_10	742.5386792355	663.3252714625	0.943769147	1.1921816195000001	11.3499357645	12.3661527255		
N06_D2__14_11	436.381413372	756.0616428819999	4.439809297000001	4.1532060694999995	18.53893524	17.360499265500003		
N06_D2__14_12	421.4394112905	666.1947114684999	2.8826193620000002	2.845188285	17.375919985	19.346815435		
N06_D2__14_13	292.823744149	529.7695540689999	2.0770859055	2.098649342	20.400423355	19.008591212		
N06_D2__14_14	311.8389754075	1369.9607486764999	1.8923649089999999	2.9820567755000003	14.679501203000001	15.583824317		
N06_D2__14_15	301.578015434	1331.932052455	5.746131922000001	4.149222488	17.798249185499998	17.8466407495		
N06_D2__14_16	2390.9235341824997	2797.1921094705	4.41638543	10.099219398	7.1337134875	12.6783518715		
N06_D2__14_17	1710.7228493829998	3304.0068684145	4.466230937	7.692822710500001	12.135076253	14.872790573		
N06_D2__14_18	5648.607883145	5445.889910625	28.112286411499998	16.496577627499995	16.542921074	15.783686277999998		
N06_D2__14_19	821.461579697	1039.0949459165001	17.994278798499998	17.654928245	17.686214105	16.606307938		
N06_D2__14_2	1148.863172998	1098.8366305085	36.8381240545	37.837334436999996	12.472684484999998	15.226614238499998		
N06_D2__14_20	1789.3238600905001	1961.905056039	16.3789107765	14.672747548	6.6164542295	6.6822977725		
N06_D2__14_21	1230.5299635235	1358.7555250730002	18.8712629655	16.753490626	6.973764490499999	6.528455038		
N06_D2__14_22	1739.9604798139999	1285.2961097950001	9.700449326000001	10.9713607945	3.559660509	6.439496899		
N06_D2__14_23	1226.953600005	1205.240341682	10.049302423	9.6669594875	12.923528795	20.665822654000003		
N06_D2__14_24	261.408427275	950.04083933	14.575085167000001	12.846584597	18.6400883895	16.897911991		
N06_D2__14_25	1474.7163834885	935.8295122645	9.678240505	10.483832161999999	21.331839934999998	19.803195073		
N06_D2__14_26	1341.5517261855002	3458.0726420440005	7.8413699865	15.781354236	16.409418657	14.505503669		
N06_D2__14_27	1885.0602115170002	3041.6833116085	21.4358108105	20.4159532965	25.6193693695	21.701422997999998		
N06_D2__14_28	1026.7991277785	1983.6850092	6.872868074	13.403127246499999	20.853692265	22.447879224		
N06_D2__14_3	542.668530324	1598.0888095485	31.7999196465	30.676834130499998	18.626958618	14.7154106855		
N06_D2__14_4	593.708182933	3679.4224342224998	22.74267837	26.968072904499998	16.0119927	14.981335891499999		
N06_D2__14_5	1244.299768382	3035.3144852695	16.7843752725	21.511701322	18.680791698999997	18.953615624		
N06_D2__14_9	330.1191670045	395.4597906875	1.6571239815	4.749871625	11.511781546	12.161833464		
N06_D2__15_10	1057.1018295024999	759.9781216725	1.138930723	0.9449093445	9.582078313	9.668758717		
N06_D2__15_11	1810.4595012255	2350.4593155095	0.99543379	4.7949398080000005	21.196347032	16.7936248835		
N06_D2__15_12	845.507257409	1020.4969007280001	0.021537799	1.9456671785	15.738746500000001	15.647383637499999		
N06_D2__15_13	400.07012340700004	1126.257055607	2.275894101	3.975038859	14.152345564500001	14.244079729500001		
N06_D2__15_14	577.3536920045	1544.8248414145	3.1022510920000004	5.003549585	13.551349535500002	14.502785059		
N06_D2__15_15	734.7088938200001	3211.333890348	6.430884965000001	9.3366785285	14.690210009500001	14.666803205		
N06_D2__15_16	811.6831142935	1964.722107065	3.6671058409999997	6.5657101905	10.062582345500001	13.748573249		
N06_D2__15_17	174.853488482	673.5445145855	2.5437292785000003	5.276645147	11.9240882585	11.884131838		
N06_D2__15_18	113.505705028	796.9663899775	3.620671508	5.747141406000001	13.6459320075	16.5707290395		
N06_D2__15_19	299.2396004815	403.0608913305	28.554030114999996	18.1820664045	12.0571302035	13.601736566		
N06_D2__15_2	2122.7829028485	1345.4662344515	61.9723555705	38.5543899985	9.303095513999999	10.2621476815		
N06_D2__15_20	1697.9155744485001	3056.417896432	16.120832348	19.741175785	3.162686214	8.933515987		
