	AB	AS	D	N
B02_D1__19_9	0.0	397.631841968	11.991078160499999	1.8032168890000002
B02_D1__20_10	0.0	323.655336867	13.690437706	3.7628499384999996
B02_D1__20_11	0.0	76.008307046	7.851263455000001	4.2566050765
B02_D1__20_12	0.0	106.0513407365	9.7920669005	4.506158888
B02_D1__20_13	0.0	204.000266261	9.476724808	2.8469058995000003
B02_D1__20_14	0.0	72.37632158849999	9.5294418515	5.814845598
B02_D1__20_15	0.0	78.45563692300001	10.794585716500002	4.9555417115
B02_D1__20_16	0.0	92.8915307975	11.2153903715	3.121102519
B02_D1__20_17	0.0	74.14966165999999	5.2299860615	1.209017635
B02_D1__20_18	0.0	335.746330538	13.2401365025	3.7927318449999996
B02_D1__20_19	0.0	575.3840211439999	18.5924167575	33.659459806
B02_D1__20_20	0.0	567.7666400405001	73.258674262	57.722682548
B02_D1__20_21	0.0	679.3114554915	7.5543363580000005	0.7315186045
B02_D1__20_22	0.0	591.900367896	2.4423151055	0.2092626245
B02_D1__20_23	0.0	580.733433138	3.2472590020000003	1.0544604875
B02_D1__20_24	0.0	266.77410829949997	13.356314291999999	6.56872401
B02_D1__20_25	0.0	602.2958225355001	7.118268994500001	4.385910990999999
B02_D1__20_26	0.0	101.32072045999999	16.092830682	6.7607321855
B02_D1__20_27	0.0	1083.217593314	17.398500303999995	17.8173343245
B02_D1__20_28	0.0	572.2020905475	1.727972626	0.4305674365
B02_D1__20_4	0.0	734.537699578	10.128818349500001	3.280247853
B02_D1__20_5	0.0	339.2799358645	41.910817320999996	27.9144025545
B02_D1__20_6	0.0	226.99881709599998	3.272028721	0.07243181950000001
B02_D1__20_7	0.0	378.2524581435	9.9006024095	0.870481928
B02_D1__20_8	0.0	429.33624916599996	10.161904761999999	3.0444444445
B02_D1__20_9	0.0	176.73405666349998	8.446607534	1.4514456859999998
B02_D1__21_10	0.0	93.99495629649999	9.1297489155	4.663467858500001
B02_D1__21_11	0.0	115.971328774	8.7650518065	3.3968076169999994
B02_D1__21_12	0.0	88.73023335399999	7.8905675325	4.0740112035
B02_D1__21_13	0.0	68.44106421000001	8.850699282499999	2.2191257675
B02_D1__21_14	0.0	76.754536849	7.718985943	3.765883003
B02_D1__21_15	0.0	64.6016047795	8.930549402	2.0685644659999998
B02_D1__21_16	0.0	56.8819016375	10.6212739255	2.5321619075
