	gene	leverage
13797	Gm16160	0.00830076914280653
30328	Kif5a	0.008282040245831013
30845	Lhx9	0.008264844305813313
4582	Cabp7	0.008233348838984966
43913	Trhr	0.008232141844928265
40530	Scd2	0.008223630487918854
44235	Tubb2a	0.00821582693606615
43316	Tmem212	0.008214029483497143
28156	Gng8	0.008212325163185596
35858	Pdp1	0.008194942027330399
28920	Hlf	0.008174906484782696
36555	Ppef2	0.008159847930073738
19069	Gm26989	0.00814487412571907
40343	Rtn4	0.00813739188015461
8062	Fam107a	0.008111461065709591
46297	mt-Tc	0.008093371987342834
42320	Stmn2	0.008081997744739056
46271	Zwint	0.008078403770923615
41158	Slc17a7	0.008055072277784348
41172	Slc1a5	0.008048716932535172
39139	Rab3c	0.008030146360397339
6769	Ddn	0.00801869761198759
44340	Ubb	0.007991833612322807
36533	Pou4f1	0.007963322103023529
41926	Sparc	0.007918329909443855
46296	mt-Ta	0.007908602245151997
32817	Mt2	0.007879095152020454
1798	6330403K07Rik	0.00787818618118763
4624	Calb1	0.007872196845710278
39287	Rasd1	0.007836158387362957
39294	Rasgrf2	0.007836103439331055
5471	Cfl1	0.00783019233494997
10499	Gm12155	0.007819028571248055
6157	Cryab	0.007791951298713684
41010	Shox2	0.007782189641147852
5631	Ckb	0.007776044309139252
33291	Necab2	0.007775109726935625
28341	Gpx3	0.007774571888148785
39388	Rbmxl2	0.007768594194203615
45617	Zbtb20	0.007758765015751123
46175	Zic1	0.007754224352538586
37221	Qdpr	0.007754030171781778
42353	Stum	0.007739140186458826
29387	Ighm	0.007738342043012381
43471	Tmprss3	0.007735397666692734
33621	Nptx1	0.007708906661719084
21585	Gm37772	0.007708030752837658
2872	Ahi1	0.007666443474590778
6175	Crym	0.007662109564989805
4037	Baiap3	0.007658804766833782
45274	Vsnl1	0.007657719776034355
40340	Rtn1	0.007653323467820883
31017	Lrrc10b	0.007630026899278164
6303	Ctss	0.0076276077888906
8696	Foxp2	0.00762186199426651
36980	Psd	0.007616263814270496
29067	Hpcal4	0.007614499423652887
41431	Slc6a11	0.007605354767292738
6022	Cox7c	0.0075904978439211845
33305	Nefl	0.007573617156594992
29362	Igfbp4	0.007563535589724779
40114	Rprm	0.007557063363492489
45445	Wnt1	0.007529507391154766
40641	Scube3	0.007515507750213146
45587	Ywhah	0.0075131249614059925
33233	Ndrg2	0.007512043230235577
39471	Rem2	0.007468283176422119
39550	Rgs4	0.007462496869266033
9047	Gfap	0.0074614547193050385
36736	Prdx6	0.007449222728610039
42044	Spock1	0.007439061533659697
7553	Efnb3	0.007429677993059158
31323	Map1b	0.007426862604916096
28404	Grm2	0.0074251568876206875
12060	Gm14033	0.0074208504520356655
39655	Rims3	0.007418534252792597
44304	Tyrobp	0.007401078939437866
7544	Efhd2	0.007374092470854521
5822	Cnih2	0.007367768324911594
40612	Scn4b	0.007363043259829283
23634	Gm43826	0.007359950803220272
35885	Pea15a	0.007356153801083565
40480	Satb2	0.007343483157455921
4708	Car2	0.007342414930462837
41209	Slc24a3	0.007340084295719862
4578	Cabp1	0.007335848640650511
39133	Rab37	0.007335803471505642
8965	Gatm	0.00733519671484828
4235	Bok	0.007331126369535923
33656	Nr4a2	0.007327319588512182
42195	Sst	0.007313392590731382
9931	Gm11512	0.007305766921490431
40225	Rps29	0.0073047177866101265
3068	Ampd1	0.007304519414901733
30925	Lmo4	0.007302360143512487
29066	Hpcal1	0.007297790143638849
28248	Gpr101	0.007292618043720722
36266	Plcb2	0.007287729997187853
9238	Gm10073	0.007282766047865152
869	2810433D01Rik	0.0072826421819627285
2392	AW551984	0.007268501911312342
7078	Dnah12	0.00726285157725215
42455	Sv2b	0.007261024322360754
18305	Gm26035	0.007244676351547241
8813	Fxyd7	0.0072375996969640255
36976	Psap	0.007232997100800276
42536	Syt2	0.0072302441112697124
42792	Tcf4	0.007226098328828812
30682	Lamp5	0.007222181186079979
29024	Hoxa3	0.007221603766083717
42245	Stac2	0.007207672577351332
6048	Cplx3	0.007199642714112997
29352	Igf2	0.007194638717919588
41492	Slco2a1	0.007189416326582432
6023	Cox8a	0.007185010239481926
44238	Tubb4a	0.007174154277890921
43842	Trbc2	0.007159280590713024
29156	Hspa8	0.007151792291551828
3679	Atp1a1	0.007149641402065754
42519	Synpo2	0.007123297546058893
29006	Homer3	0.007123050279915333
7006	Dkk3	0.007112151011824608
2906	Ak7	0.00710295932367444
40259	Rpsa	0.007102186791598797
36307	Plekhg1	0.007100970018655062
39693	Rn7s1	0.0070781041868031025
8350	Fbn1	0.00707471277564764
8488	Fezf2	0.007063352037221193
29941	Irs4	0.0070509049110114574
35437	Otof	0.007050303742289543
36348	Plpp3	0.007040983997285366
32599	Mpped1	0.007037302944809198
17239	Gm24447	0.007036866154521704
6020	Cox7b	0.007036631461232901
4655	Camk2d	0.007031748071312904
45277	Vstm2l	0.0070272875018417835
36863	Prox1	0.007019625045359135
45591	Ywhaz	0.007014323957264423
4937	Ccdc81	0.006999097764492035
31597	Meis2	0.006956036668270826
40050	Rpl37rt	0.006945709697902203
7023	Dlgap3	0.006945665925741196
7933	Etv1	0.006938405334949493
30535	Krt2	0.006934504024684429
46314	mt-Tt	0.006930072791874409
32921	Mup-ps22	0.006917456164956093
33049	Myoc	0.006911467760801315
8264	Fam71a	0.006902292370796204
15688	Gm22122	0.006900112144649029
7821	Eps8l2	0.0068997666239738464
4636	Calm1	0.006898187100887299
37138	Ptpn4	0.006897791754454374
31527	Mdh1	0.006897732149809599
31327	Map2	0.006891489960253239
41163	Slc18a3	0.006879383232444525
4625	Calb2	0.006879344582557678
4424	C1qa	0.0068777152337133884
40536	Scg2	0.00687581580132246
33743	Ntng1	0.006874619517475367
44654	Vamp1	0.006852262187749147
39541	Rgs16	0.006848734803497791
4427	C1qc	0.006848659832030535
44124	Tspan7	0.006842585280537605
3689	Atp2a2	0.006830190308392048
33698	Nrxn3	0.006828352343291044
102	1700001C02Rik	0.006809645798057318
18593	Gm26461	0.006803156342357397
6059	Cpne7	0.006795970257371664
35767	Pcp4l1	0.006769473198801279
7154	Dnm1	0.006765046622604132
28241	Gpm6a	0.006749194115400314
40606	Scn1b	0.006748198997229338
33687	Nrn1	0.006739391479641199
29099	Hs3st2	0.006737116724252701
7503	Edil3	0.0067365169525146484
41665	Sncb	0.0067362673580646515
4323	Btbd3	0.006734526716172695
4658	Camk2n2	0.006728672422468662
13418	Gm15728	0.006728411186486483
9014	Gda	0.006726874969899654
8575	Fkbp1a	0.006721142679452896
3700	Atp5b	0.006719590630382299
14064	Gm16559	0.006718317046761513
30786	Lef1	0.0067160166800022125
28697	Hbb-bs	0.006704267114400864
6016	Cox6c	0.006689166184514761
29690	Igsf21	0.00668612215667963
17115	Gm24265	0.006661725230515003
4878	Ccdc180	0.006660671904683113
37147	Ptprd	0.006659419741481543
40738	Sema3e	0.006643245462328196
42844	Tdo2	0.00663719279691577
35872	Pdyn	0.006636954378336668
7519	Eef2	0.006628372240811586
39332	Rbfox1	0.00661458307877183
30773	Ldhb	0.006611569784581661
30323	Kif3a	0.006603008136153221
7512	Eef1a1	0.006594561040401459
35411	Osbpl1a	0.0065930928103625774
29884	Ipcef1	0.006589030846953392
30136	Kcnab1	0.006586998701095581
26191	Gm5741	0.006566996220499277
46302	mt-Th	0.006551741156727076
7175	Doc2b	0.006545628421008587
6993	Diras2	0.006543535739183426
7569	Egr1	0.006533194333314896
15209	Gm20553	0.006522658746689558
46311	mt-Tr	0.006501419004052877
40883	Sez6l2	0.006493637338280678
8866	Gabra4	0.006488495040684938
41064	Six3	0.006484718527644873
30014	Itm2c	0.006460057571530342
31245	Mag	0.006450875196605921
28690	Hba-a1	0.006436825729906559
7513	Eef1a2	0.006433413363993168
28375	Grid2ip	0.006432480178773403
6012	Cox6a1	0.006425423547625542
3066	Amotl1	0.006418588105589151
30351	Kitl	0.006417146418243647
45454	Wnt4	0.006411195732653141
42573	Tac1	0.006406993139535189
35806	Pde1a	0.006400687620043755
4176	Bin1	0.006397501099854708
36629	Ppp1r32	0.006394124589860439
35979	Pgm2l1	0.006381436251103878
35565	Pantr1	0.00636914512142539
28457	Gstm1	0.006359907798469067
39844	Rora	0.006349185481667519
6722	Dclk1	0.006340937223285437
2984	Aldoa	0.00633911183103919
43088	Timp2	0.006334234494715929
42529	Syt11	0.006331900134682655
7008	Dkkl1	0.006327114533632994
6270	Ctnnb1	0.00632253335788846
17689	Gm25106	0.006320694927126169
4162	Bhlhe22	0.006316752173006535
36301	Plekhb1	0.0063146804459393024
7870	Ermn	0.00631168857216835
2788	Adora2a	0.006310167256742716
30457	Klk8	0.0063081462867558
28691	Hba-a2	0.006300678942352533
6728	Dcn	0.006299401633441448
27994	Gm9785	0.006299026310443878
28427	Gsdma3	0.0062740398570895195
33228	Ndn	0.006272535305470228
43658	Tpt1	0.006271671038120985
28379	Grik3	0.006269353907555342
36728	Prdm8	0.006264659110456705
5230	Cdhr3	0.0062612444162368774
28698	Hbb-bt	0.0062594935297966
5516	Chgb	0.00625487370416522
43898	Trem2	0.006253549829125404
4425	C1qb	0.006249671336263418
40258	Rps9	0.006231962237507105
9115	Gja1	0.006229819729924202
41002	Shisa6	0.006213246379047632
8176	Fam19a1	0.0061871749348938465
39821	Rnu2-10	0.006181327160447836
41300	Slc30a3	0.006174339447170496
44114	Tspan2	0.006173057947307825
29943	Irx2	0.006168117746710777
2734	Adcyap1	0.006155402399599552
42527	Syt1	0.006138618569821119
32132	Mir6236	0.006134561728686094
28369	Gria1	0.00612207967787981
3516	Arpp21	0.006120325531810522
16679	Gm23624	0.006112461443990469
46	1110028F18Rik	0.006103656254708767
7732	Enc1	0.0061010029166936874
12271	Gm14303	0.006092127878218889
41477	Slc9a4	0.0060920193791389465
31301	Man1a	0.006090226117521524
31409	Marcks	0.006088470108807087
36239	Platr19	0.006078140344470739
2859	Agt	0.006077346857637167
32134	Mir6240	0.006063215434551239
41208	Slc24a2	0.006063040811568499
44566	Usmg5	0.00604853592813015
28301	Gpr37l1	0.00604812940582633
33304	Nefh	0.006046036258339882
30142	Kcnc1	0.006045026239007711
5492	Chchd10	0.00604367908090353
46293	mt-Nd6	0.006042886525392532
40479	Satb1	0.006037270650267601
39482	Resp18	0.006034741178154945
35673	Pcdh20	0.006027191411703825
43054	Tiam1	0.006021615117788315
14743	Gm18733	0.006011526565998793
33628	Npy2r	0.006008785683661699
8695	Foxp1	0.006001664325594902
36768	Prkacb	0.005998170468956232
44677	Vav3	0.005984258372336626
9262	Gm10126	0.005983426235616207
28525	Gucy1a3	0.005973274819552898
33958	Olfml2b	0.005969590973109007
39869	Rph3a	0.005967203062027693
33696	Nrxn1	0.0059630307368934155
7085	Dnah6	0.005959293805062771
44108	Tspan13	0.00595815060660243
6061	Cpne9	0.0059554725885391235
36864	Prox1os	0.00593334436416626
9241	Gm10076	0.005932015832513571
32546	Mog	0.005927493330091238
35206	Olfr856-ps1	0.0059272125363349915
8872	Gabrd	0.0059193698689341545
33232	Ndrg1	0.005919123534113169
45674	Zcchc12	0.00591244688257575
40049	Rpl37a	0.005908929277211428
4735	Cartpt	0.005907202139496803
34915	Olfr576	0.005906918551772833
44704	Vgll3	0.0059045301750302315
43038	Thra	0.005902082659304142
5566	Chrna3	0.005901928525418043
5134	Cd59a	0.005888450890779495
35930	Pex5l	0.005884830374270678
28275	Gpr161	0.005879574455320835
40268	Rpsa-ps9	0.005878604017198086
29337	Ift46	0.005868495907634497
29247	Id3	0.005866166204214096
17215	Gm24407	0.005854026880115271
